customer_order_id,title,property type,download_link,address,address_2,postal_code,district,locality,mobile,country,email,KAM YN,full_name,Who we spoke/emailed with in property,Date Picsastock will be at property
58229,Amsterdam Hostel Leidseplein,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wflRFN1c0c3BmVHpWbkN4TVN5UW9nVUg3ZzVmdUxKbGJtVWNXUXhPWmpLQms,Korte Leidsedwarstraat 79,0,0,0,Amsterdam,,Netherlands,info@amsterdamhostelleidseplein.com,Yes,Erwane de Swarte,,
11260,Amsterdam Hostel Orfeo,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfmhMakNpSEZQTHZtLTc3bzBUQ2NhVm9yTkdDbXQwX05ZMHhzVXE4U21iZGM,Leidsekruistraat 14,0,0,0,Amsterdam,,Netherlands,info@amsterdamhostelorfeo.com,Yes,Erwane de Swarte,,
4525,Bostel Amsterdamse Bos,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfnJ3SXh4YUxkUkJ5T05BcFdUWVJXR3FRMHpTazFOZ0VVUlVWbGVlMmtyNE0,Kleine Noorddijk 1,0,1187 NZ,0,Amsterdam,,Netherlands,info@campingamsterdam.com,Yes,Erwane de Swarte,,
645,Durty Nellys Inn,GUESTHOUSE,https://drive.google.com/open?id=0BwrdIL719n7wfnhvN0F6eVRfS21VR0gyOHZRbjVGSVhNeU1EN2ZvMEViWS1Fd2NMZzFJQ1E,Warmoesstraat 117,1012 JA Amsterdam,0,0,Amsterdam,,Netherlands,nellys@xs4all.nl,Yes,Erwane de Swarte,,
652,Heart Of Amsterdam,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wflp6RXRWWmFIMmNQQjlwSERyRnY0TGZxZS1aUDhqSF9QR2VEYmZHRE5wQ2M,Oudezijds Achterburgwal 120,0,1012dt,0,Amsterdam,,Netherlands,info@hearthostel.nl,Yes,Erwane de Swarte,,
21739,Hostel Slotania,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfjRfYnJNUGJkclhhZmtWaG1CMnFFM2R3dUYyMjBQb2Z5T2FaVWdLZ0RxNWc,Slotermeerlaan 131,0,1063 JN,0,Amsterdam,,Netherlands,info@nieuwslotania.nl,Yes,Erwane de Swarte,,
5487,Hostel the Globe Center,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfkRxdGxERFVvZk5MYTJHRzUtUFp0MmZBRGJ6aXM4QkVrdFhPaGh6eUdVYUk,Oudezijds Voorburgwal 3,0,1012EH,0,Amsterdam,,Netherlands,info@hostel-theglobe.nl,Yes,Erwane de Swarte,,
12217,Inner Amsterdam,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfm5Qb3hFMzVHZEotOVBRWUhOTVdJOV9PWTd4b25WeXduNExxckxDeTFhUjA,Wanningstraat 1,0,1071 LA,Noord-Holland,Amsterdam,,Netherlands,info@innerhotel.nl,Yes,Erwane de Swarte,,
16779,The White Tulip Hostel,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfk9Ea3NmS181bFIzemtCLVhUQWJVRXBBRWs3WjQyTFVRaHQ1UVlWY1R0R2c,Warmoesstraat 87,0,1012 HZ,Noord-holland,Amsterdam,,Netherlands,info@wittetulp.nl,Yes,Erwane de Swarte,,
5052,Youth Hostel Meetingpoint,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfnlUaFhrSTE4TTAzZ3YxQ3dzT3JjUVNHSVBHem5xM0NaQjBpODVfOEJGUTA,Warmoesstraat  14,1012 JD,1012 JD,Noord Holland,Amsterdam,,Netherlands,info@hostel-meetingpoint.nl,Yes,Erwane de Swarte,,
5159,Central Hostel,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wflFyRjV3N01iTEx3bzlJc1pvdElqMXVNc3p3Z0YtcVNWekpjSUtzSHpxaFE,26 Princes Square,0,W2 4NJ,0,London,,United Kingdom,central_hostel@yahoo.co.uk,Yes,Erwane de Swarte,,
43465,Keystone House Kings Cross,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfkFMaVNfcVFLNG93WU8tUG54Q0pwTmFXNUUtNjRHMUVaVzVZTFE4OUtna2s,272-276 Pentonville Road Kings Cross,London,N1 9JY,0,London,,United Kingdom,enquiries@keystone-house.com,Yes,Erwane de Swarte,,
48221,Phoenix Hostel,GUESTHOUSE,https://drive.google.com/open?id=0BwrdIL719n7wfmwwZHVpd0YyNGpvZTVfMWVmMjd1STZnbjhmczd2aV9pNjJvRmRrcFZRbWs,6 Daventry Street,0,NW1 5NX,0,London,,United Kingdom,phoenixhostellondon@gmail.com,Yes,Erwane de Swarte,,
48393,Pride of Paddington,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfk1DT2g4RkNDUFNCb1ZkQnJ4NVkyTFdBYXlUaHFNY0pkZVViT3FfSFpGWlk,1-3 Craven Road,Paddington,W2 3BP,0,London,,United Kingdom,Contactus@theprideofpaddington.co.uk,Yes,Erwane de Swarte,,
50443,Queen Elizabeth Chelsea,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfmctU01oZlBoa3BkVHYxRjVTZ3NYdW5YLXB2RFpwTFU4RmFwVHhfb2o5WXM,58 Bagleys Lane,0,SW6 2BH,0,London,,United Kingdom,qehostel@gmail.com,Yes,Erwane de Swarte,,
50691,The Monkeys in the Trees,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfmw5TmRPZ3BhdUVZeFAzMFd3TXdpSndlNllGSzE0TEFTTG1SZDFVNVBwcEk,49 Becklow Road,Shepherds Bush,W12 9ER,0,London,,United Kingdom,monkeysinthetreeshostel@gmail.com,Yes,Erwane de Swarte,,
58378,The Walrus Hostel,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfnU0NUZJWGNkQ254bHBmeUdHUHhIZ1BJUjBxTEpLcW9CU0lQTnMweWFZVlE,172 Westminster,Bridge Road,SE1 7RW,London,London,,United Kingdom,walrus@portal.dormproject.ch,Yes,Erwane de Swarte,,
16098,Hollywood and Highland Hostel and Hotel,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfkZhaFF2aXFHX3JBc1Z6MExJTXkxRVZURGdrLWswb3JRbXFBdGJCT1lKcXc,70381/2 Hollywood Blvd,Hollywood,0,CA,Los Angeles,,United States,h.h_hostel@hotmail.com,,Ciara Madden,,
62531,La Mansion Hostel,HOSTEL,,1929 Rochester Circle,0,90018,California,Los Angeles,,United States,reservations.themansion@gmail.com,Yes,Ciara Madden,,
26580,Stay on Main,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfkZlbDVvdk5XcGhWRklLLW0tcGpHSEtra1U2N2V3eGEzaXV3NEU5aE1iOGc,640 South Main Street,0,90014,0,Los Angeles,,United States,frontdesk@stayonmain.com,,Ciara Madden,,
842,Venice Beach Hostel,HOSTEL,,1515 Pacific Avenue,Venice,1515 PACIFIC AV,CA,Los Angeles,,United States,info@planetvenice.com,,Ciara Madden,,
618,Antares Hostel,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfnNiemlNLUJ0S3R6Tmhka0YyVUNZTlIzaVpYUHVtWUpWNGNOaHY2MWxhaUU,"5 Avenue Thiers,",6000,6000,0,Nice,,France,antareshotel@yahoo.fr,Yes,Erwane de Swarte,,
7633,Hostel Baccarat,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfnNNeHQzc3RDQXhzTGtGRmlpVWxJeU4yTFBDZzltc0RXcmJZRlkyelBFX1E,"39, Rue D'Angleterre",0,06000 nice,0,Nice,,France,baccarathotel@yahoo.fr,Yes,Erwane de Swarte,,
1652,Hostel Meyerbeer Beach,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfmdLZUF3NEh3T1c5Q2dIRE5tR3VsZGROREYzT3pDMXdZUU9vN0Z2NnZ6RVE,15 Rue Meyerbeer,0,6000,Maritime Alps,Nice,,France,hotelmeyerbeer@gmail.com,Yes,Erwane de Swarte,,
14480,Hostel Pastoral,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfjhYOTUyYWU2NXFuenZxMzhhUHU3dmxGMmpIVkw4NXZ4eWZIdUh5MlNleTg,27 rue Assalit,0,6000,Cote d'Azur,Nice,,France,hotelpastoralnice@hotmail.fr,Yes,Erwane de Swarte,,
43540,Villa Saint Exupery Beach,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfnpjQVJ5c2Jja1k0ZExXX0NGSkFnTDB3Q2lfdjNYcnNXQnZJLXgwTEFPdE0,6 Rue Sacha Guitry,0,0,0,Nice,,France,beach@villahostels.com,Yes,Erwane de Swarte,,
46691,Dixo's Oporto Hostel,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfmR0LTZ4NXBzVXlFaXdZSFFsckFtYTBVb1NqSEU1ZnBJalVQMmtpMzI4Z3M,Rua Mouzinho da Silveira 72,0,4050-372,0,Porto,,Portugal,dixoshostel@gmail.com,Yes,Carmen Maria Jiminez,,
52644,Garden House Hostel,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wflNwSnI3VDVEdms4QVdGcnRZMFAzMXdUUDdQdUJWMWxMNmhHY1l5cEdVTjA,"Rua de Santa Catarina, 501",0,,,Porto,,Portugal,gardenhouse501@gmail.com,Yes,Carmen Maria Jiminez,,
30402,Rivoli Cinema Hostel  ,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wflBaZUpQb0g3bTVUYzZIZXdTa3JEM2V4RDNoZ0wxaXFTRFUwcFlfeUR1Ym8,"Rua Dr. Magalhaes Lemos 83, 1st Floor",0,,,Porto,,Portugal,rivolicinemahostel@gmail.com,Yes,Carmen Maria Jiminez,,
41438,Porto Wine Hostel,HOSTEL,,"Campo dos Martires da Patria, 52",,4050-366,Porto,Porto,,Portugal,book@winehostel.pt,Yes,Carmen Maria Jiminez,,
45912,Oporto Invictus Hostel,HOSTEL,,Rua das Oliveiras 73,,4050-449,Porto,Porto,,Portugal,info@oportoinvictushostel.com,Yes,Carmen Maria Jiminez,,
42599,Porto Spot Hostel,HOSTEL,,Rua Goncalo Cristovao 12,,,Porto,Porto,,Portugal,portospothostel@gmail.com,Yes,Carmen Maria Jiminez,,
7651,BT Rooms,GUESTHOUSE,https://drive.google.com/open?id=0BwrdIL719n7wfi0za0gxbGVlR1FIR3lQM1hUY0lURlNITzhLbF90RVZVbndoUmpQTTRISEU,Via dei Mille 9 int.5,0,italy,0,Rome,,Italy,btrooms@gmail.com,N,Simona Casciato,,
4631,Carlito's Way,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfi1pejRzMFpOMWdHTFN0NWI5MUt4RGJEcUZKTnE4c0xHNTBkRDQ5dG43dDg,Via Villafranca 10,00185 Rome,0,0,Rome,,Italy,info@rome-hotel-carlitosway.com,Y,Luca Villa Presutti,,
57442,Comics Guesthouse,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfnNXWnpGTDQ1LVp0ekJyT29pd3FlbkJXUTdHZzY5X3QxdEh5MVE3UGJ2Y28,viale G. Cesare 38,0,192,Lazio,Rome,,Italy,"info@comicsguesthouse.it, db@bbliverate.com",N,Simona Casciato,,
57221,Dreaming Rome Hostel,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wflc5dWpsR1BfTlVvRHZlbUs2eUFuUk05UmV0YldjVFY1UUVTMzMxRWlhdVk,Via Cuma 2,0,183,Rome,Rome,,Italy,roma8581@libero.it,N,Simona Casciato,,
1743,Hostel Beauty,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wflFuWGdHekNsSnlTcFhRUmRNQXlQZHRRZXJxTGZOeWN3cGxVcXNqVGVpSjg,Via Napoleone III  No. 35,0,185,rm,Rome,,Italy,hotelbeauty35@gmail.com,Yes,Luca Villa Presutti,,
20484,Hostel Lella,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfnYwZW11RVpCWXBsTVdnSkFtbFFjSlhZOVFDNlFJeHJEc1BlNnRZQjBNNVE,Via Palestro 9,0,185,Rome,Rome,,Italy,hotellella@gmail.com,Y,Luca Villa Presutti,,
46143,Hostel Lodi,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfnN0UE5xRG05RnVfSkRlaVZEcXBOTTdQSExrakc5Z0ltTWp5Y0pPa3VYUnc,"Via Oristano, 14",0,182,0,Rome,,Italy,reservation@hotellodiroma.it,N,Simona Casciato,,
76754,Hostel Mosaic Central,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfnRJVmN3VXJFSnRYcEtISk8zNmNMNHY1cWRubDRJZS1ZUzNYNTZzRm5NSFE,Piazza del Viminale 5,0,184,italy,Rome,,Italy,info@mosaiccentralrome.com,Y,Luca Villa Presutti,,
4428,Hostel Termini,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfnpDdUlNcGxyVjQzekt5bl9PMU9FUHBSTTdHeE5vZ2Z1dzdFZWlacHhHeGs,"Via Palestro 88, 4",0,0,0,Rome,,Italy,info@stargatehotels.net,N,Simona Casciato,,
7649,Hostel Vacanza,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfjZqQXBkbHNZX1MxS0ZBMEFLdVpYYjlHUXZ6NW50MGpsT2h6YV8yS2FjeUE,"Via Palestro, 65 00185","Via Dei Mille, 27 00185",0,0,Rome,,Italy,vacanzaroma@tiscalinet.it,N,Simona Casciato,,
47795,Maison De Julie,GUESTHOUSE,https://drive.google.com/open?id=0BwrdIL719n7wflEtTHdFems1NUE2LVJTSU5EdzFseU5rVi1uN2JYLXY0RzE2WnpxWk9VTTg,Via Palermo 67,ground floor,184,0,Rome,,Italy,maisondejulie@gmail.com,N,Simona Casciato,,
23973,Orsa Maggiore for Women Only,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfjJWa3piTXBKZjc1N2h3dlRQUTNUSklqbENDRW0xdnpZV1pkcDZwRDE2eWc,Via San Francesco di Sales 1/a,0,165,0,Rome,,Italy,orsamaggioreroma@tiscali.it,Y,Luca Villa Presutti,,
21509,Panoramic,GUESTHOUSE,https://drive.google.com/open?id=0BwrdIL719n7wfnRjY0RfdHRQWXhjQ2ZZWnB1SkVKQkhHbzBBSkZSQ0lCWm9nLUQwSVBBdTg,"Via Principe Amedeo, 94","4th Floor, Interno 9",185,Lazio,Rome,,Italy,info@hostelpanoramic.it,N,Simona Casciato,,
48889,Sandy Hostel,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wflZRWXhmS0FvdC02enVXWFhJYzFDX0VMWWxHbGFzbXVIcHh0blU3bWtNeFE,"Via Cavour 136, 00184 - Roma",0,184,0,Rome,,Italy,info@sandyhostel.com,Y,Luca Villa Presutti,,
765,Sunshine Hostel,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfklQajM4WVh6LUhTOEVVQ2M5MzVYalFYMFJfMUpRdFc5YmItT2cwNF85aVU,"Via Giolitti, 208",0,185,0,Rome,,Italy,infosunshine@tin.it,N,Simona Casciato,,
767,Tiber Hostel and Camping,CAMPSITE,https://drive.google.com/open?id=0BwrdIL719n7wfjF5WHNwck5EY1BhSzBFMjM5eGtNeVdXelpyMHFBZVNGdGV5Y3hvdm5VYm8,Via Tiberina km 1.400,"Rome (Prima Porta), I-00188",0,0,Rome,,Italy,info@campingtiber.com,N,Luca Villa Presutti,,
62472,Wow Colosseum,GUESTHOUSE,https://drive.google.com/open?id=0BwrdIL719n7wfnM4clMtSU56dXE0X3NfdnZUVUtjMHpYTVdlOEVEZE1pRkEteEs4cnBDNjQ,Via Principe Umberto 77,0,185,Lazio,Rome,,Italy,gelu34roma@yahoo.it,N,Simona Casciato,,
647,Euphemia Hotel,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfjlFTzFMRkM5WlF4MVNIMElkN3Zfb0VqMDltT0wxMzFQMFhKcU5ObHVNTHc,Fokke Simonzstraat 1-9,0,1017 TD,0,Amsterdam,,Netherlands,info@euphemiahotel.com,Yes,Olivia Rice-tifine,,
67298,Hostella Female Only,HOSTEL,https://drive.google.com/open?id=0BwrdIL719n7wfjRWZ0pRa0dJTGZQSjYtV3lLeENVQk12UVdnSlh3dThFcmJhZHFsYV9TSDA,Via Gaeta 70,0,185,Rome,Rome,,Italy,info@hostellarome.com,Yes,Luca Villa Presutti,,
56456,Globe Trott inn ,Hostel,,"1 Barking Road, London , E6 1PW",,,,London,,Italy,,,,,
