email	customer_order_id	country	full_name	locality	title	address	mobile	postal_code	Website	district	Comment	shoot_date	shoot_time	download_link	Approval	
		Germany	Jenny	München	Alter Wirt Forstenried	Forstenrieder Allee 187	897455460	81476	http://alterwirt-forstenried.de/	Obersendling	Herr Kustermann, call directly in the restaurant	22.10.2015	09:00	https://drive.google.com/drive/u/0/folders/0B2hn6AH29SQzTm5pT0UtY2hfLWM	Yes	
		Germany	Jenny	München	Manzil	Grünwalder Straße 14d	8964957172	81547	www.manzil-muenchen.com	Untergiesing-Harlaching	Bhupinder Lohra, the photographer can call directly int the restaurant 	19.10.2015	15:00	https://drive.google.com/drive/u/0/folders/0B2hn6AH29SQzNVY2TGYyckhURVE	Yes	
		Germany	Jenny	München	Piccola Italia	Aberlestr. 14	89761844	81371	http://www.piccola-italia.org/	Sendling	Fabio, 0176 649 53 557 	19.10.2015	11:00	https://drive.google.com/drive/u/0/folders/0B2hn6AH29SQzd3Z6T0c3VWw1ODQ	Yes	
		Germany	Jenny	München	Pizzeria Sessanta	Zasingerstraße 2	8937911044	81547	http://www.pizzeria-sessanta.de/	Obergiesing-Fasangarten	Sergio Ruffilio, 0176 70 69 07 99	21.10.2015	11:00	https://drive.google.com/drive/u/0/folders/0B2hn6AH29SQzbGtCZGFpd29RbUE	Yes	
		Germany	Jenny	München	Restaurant Barka	Fasangartenstraße 124	8968050681	81549	http://www.restaurantbarka.de/	Obergiesing-Fasangarten	Dimitri, the photographer can call in the resturant directly	26.10.2015	14:00	https://drive.google.com/drive/u/0/folders/0B2hn6AH29SQzX0lmck9mTDFIR28	Yes	
		Germany	Jenny	München	Ristorante Casa Ischia	Zschokkestr. 55	8957930680	80686	0	Laim	Antonio Di Scana, the photographer can call directly in the restaurant 	21.10.2015	14:50	https://drive.google.com/drive/u/0/folders/0B2hn6AH29SQzVVhERUwyckhwV0k	Yes	
		Germany	Jenny	München	Saffer's Fattoria	Deisenhofenerstr. 80	8969797464	81539	https://www.facebook.com/pages/Saffers-Fattoria/795065553913524?sk=info&tab=page_info	Obergiesing-Fasangarten	Pia Rahnenführer, 0163 266 55 88 after 12pm 	26.10.2015	17:00	https://drive.google.com/drive/u/0/folders/0B2hn6AH29SQzTjNsTmVqS0RsSUE	Yes	
		Germany	Jenny	München	Taverna Hellas	Heimeranstraße 61	89507747	80339	www.tavernahellas.com	Schwanthalerhöhe	Kostas, but I didnt speak to him directly, but they told me they will tell him. the best time for the shooting would be 5pm. 	22.10.2015	18:00	https://drive.google.com/drive/u/0/folders/0B2hn6AH29SQzVl9PcmsxZ19Ibm8	Yes	
		Germany	Jenny	München	Taverna Likavitos	Kühbachstr. 4	89657288	81543	http://www.taverna-likavitos.de/	Untergiesing-Harlaching	Marianzi Mingu, photographer can call directly in the restaurant 	27.10.2015	14:00	https://drive.google.com/drive/u/0/folders/0B2hn6AH29SQzdGZjV0xfbVRQR1E	Yes	
		Germany	Jenny	München	Taverna Navtilos	Schneckestr. 17	8995493763	81737	http://taverna-navtilos.de/	Ramersdorf-Perlach	Herr Zoumis, 0176 24 26 53 48 	23.10.2015	15:30	https://drive.google.com/drive/u/0/folders/0B2hn6AH29SQzZW8tZzA1S0hlZWs	Yes	
		Germany	Jenny	München	Truderinger Wirtshaus	Kirchtruderinger Strasse 17	89421532	81829	www.truderingerwirtshaus.de	Trudering-Riem	Herr Kron, the photgrapher can directly in the restaurant	27.10.2015	10:30	https://drive.google.com/drive/u/0/folders/0B2hn6AH29SQzMERmOFlTa1h5ekk	Yes	
		Germany	Jenny	München	Goldene Gans	Planegger Str. 31			http://www.schlossschaenke-blutenburg.de/goldenegans/index.html	Pasing-Obermenzing	Frau Bogenreder 	28.10.2015	10:00	https://drive.google.com/drive/u/0/folders/0B2hn6AH29SQzN05Hc284RlJsejA	Yes	
		Germany	Paul	Berlin	Nuovo Paladino	Fischerhüttenstr. 67	3086203360	14163		Zehlendorf	Lulzim, call in the restaurant 	04.11.2015	12:00	https://drive.google.com/drive/u/0/folders/0BwouuaUhPViQbmlhdXVZY3VhVVU	Yes	
		Germany	Stefan	München	Restaurant Afros	Braystr. 22	8941777622	0.48	Listing	Steinhausen	Contact	03.11.2015	17:00	https://drive.google.com/drive/u/0/folders/0Bxwq4mW8pzRAZHk5aTd1NE0wWGc	Yes	
		Germany	Stefan	München	L'Ancora	Schleißheimer Str. 201a	8930762952	0.48	Listing	Schwabing-West	Contact	03.11.2015	11:00	https://drive.google.com/drive/u/0/folders/0Bxwq4mW8pzRARkxLR21SYzV2U1k	Yes	
		Germany	Jenny	München	Solo Pizza	Bereiteranger 18	8967972900	81541	http://www.solopizza.de/	Au-Haidhausen	Herr Pitschmann, 0171 32 868 32	12.11.2015	17:00	https://drive.google.com/drive/u/0/folders/0B2hn6AH29SQzeHl6NGVFZ1NEZU0	Yes	
		Germany	jenny	München	Surya	Max-Rothschild-Str. 10	89428199	81825	www.suryarestaurant.de		Herr Prakashjha 0176 453 75003, new restaurant contacted on the 6.11	13.11.2015	14:00	https://drive.google.com/drive/u/0/folders/0B2hn6AH29SQzOHJ0TUtJWkVmeFk	Yes	
		Germany	Stefan	München	Hofbräu Obermenzing	Verdistraße 125	8986466080	81247	Listing	Pasing-Obermenzing	Contact	13.11.2015	10:00	https://drive.google.com/drive/u/0/folders/0Bxwq4mW8pzRAcXkyY0tYRXoxMXc	Yes	
		Germany	Stefan	München	Trattoria La Stella	Hohenstaufenstr. 2	89341779	80801	Listing	Schwabing-West	Contact	11.11.2015	11:00	https://drive.google.com/drive/u/0/folders/0Bxwq4mW8pzRAdE1ydkhTMHNqMG8	Yes	
		Germany	Stefan	München	Gaststatte Bavaria Augustiner	Bayerstr. 81	89533175	80335	Listing	Ludwigsvorstadt-Isarvorstadt	Contact	10.11.2015	09:30	https://drive.google.com/drive/u/0/folders/0Bxwq4mW8pzRAQ1Mxb2hEeUhsMVU	Yes	
		Germany	Paul	Berlin	Neffes	Potsdamer Str. 131	3021005500	10783	0	Schöneberg	Roberto, best time for the shooting is daily at 15:30 Uhr 	08.11.2015	15:15	https://drive.google.com/drive/u/0/folders/0BwouuaUhPViQd2hJeXVPckhVd1k	Yes	
		Germany	Paul	Berlin	Petite Europe Restaurant	Langenscheidtstr. 1	307812964	10827	0	Schöneberg	Rino, 0172 302 68 87 best to call at 5pm 	07.11.2015	16:30	https://drive.google.com/drive/u/0/folders/0BwouuaUhPViQb1RVWFlvMWR1bkE	Yes	
		Germany	Paul	Berlin	Bosco Verde	Menzelstr. 1 ( Ecke Hagenstr. 2 )	493089746074	14193	http://bosco-verde.de/	Halensee	Herr Decker, 0176 60017706. sd@@pos-creativemedia.de	12.11.2015	16:00	https://drive.google.com/drive/u/0/folders/0BwouuaUhPViQVU0wcXlGdHZmNzA	Yes	
		Germany	Paul	Berlin	Heat & Beat	Sonnenallee 67	15238455905	12045		Neukölln	Jakob, 0152 384 55 905 	12.11.2015	11:00	https://drive.google.com/drive/u/0/folders/0BwouuaUhPViQQUU2enZKX0J3eWM	Yes	
		Germany	Paul	Berlin	Brunetti´s Veganarium	Holtzendorffstraße 1	17632887758	14057	www.brunettis-veganarium.de	Charlottenburg	Sarah Brunetti, 017632887758 	08.11.2015	14:00	https://drive.google.com/drive/u/0/folders/0BwouuaUhPViQRFNPTkE1LUIzY1k	Yes	
		Germany	Paul	Berlin	Zsa Zsa Burger	MOTZSTRASSE 5	Ernesto, 0172 39 22 865 	10777	www.zsazsaburger.de	Schöneberg	Ernesto, 0172 39 22 865 	15.11.2015	16:30	https://drive.google.com/drive/u/0/folders/0BwouuaUhPViQVDRaa1FDcGRDVWs	Yes	
		Germany	Hauke	München	Chopan am Gasteig	Rosenheimerstraße 6 + 8	8944118571	81669	www.chopan.de	Au-Haidhausen	Herr Saabat: 0179 78 00 580 , but only call at the afternoon 	09.11.2015	17:30	https://drive.google.com/drive/u/0/folders/0B0gOZmP3XbWDQ0U5cDFRZGIzdXM	Yes	
		Germany	Hauke	München	Sendlinger Augustiner	Alramstr. 24	Wrong no: 897470925 Correct no:089-45 23 09 39	81371	http://www.sendlingeraugustiner.de/	Sendling	Patrick Pannek, the phtographer can call directly in the restaurant. daily from 10-01 Uhr 	11.11.2015	10:30	https://drive.google.com/drive/u/0/folders/0B0gOZmP3XbWDZm9HWmhyNGhDdDg	Yes	
		Germany	Hauke	München	Coccinella	Dachauer Str. 38	8959943990	80335	http://munich-city-pizzeria-coccinella.pizzeria-coccinella.de/	Maxvorstadt	Johnny Sllamniku 	11.11.2015 	14:30	https://drive.google.com/drive/u/0/folders/0B0gOZmP3XbWDdU1OME5NNWN3dWc	Yes	
		Germany	Hauke	München	Restaurant Funkstadl	Arnulfstraße 44	89555355	80335		Maxvorstadt	Zlatko Prgomet, 0176 322 64 224 , new restaurant from the 6.11	11.11.2015	15:30	https://drive.google.com/drive/u/0/folders/0B0gOZmP3XbWDWEttSk5KWEZRQlk	Yes	
		Germany	Hauke	München	Pho Ha Noi	Humboldtstr 5	8967973954	81543		Ludwigsvorstadt-Isarvorstadt	Frau Saller 0173 208 9508, new restaurant from 6.11	12.11.2015 	15:30	https://drive.google.com/drive/u/1/folders/0B0gOZmP3XbWDeklWVGNxZF9yeXM	Yes	
		Germany	Markus	Berlin	Il Mulino	Adolf-Martens-Straße.2	308327793	12205	0	Lichterfelde	Niko, 0157 847 31 593	13.11.2015	15:30	https://drive.google.com/drive/u/0/folders/0B-oueGlGMoKjZTZkd2cwRk1DLWc	Yes	
		Germany	Markus	Berlin	BOMBAY Restaurant	Friedrichstr. 106c	493028484953	10117	http://www.bombay-berlin.de	Mitte	Ronny 0176 32 987 114 und Robby 0176 620 143 64. ronny is doing the early shift and robby is doing the late shift. 	12.11.2015	10:30	https://drive.google.com/drive/u/0/folders/0B-oueGlGMoKjTXoxdWpRQndsY3M	Yes	
		Germany	Markus	Berlin	Lenzig Restaurant	Eisenacher Str. 75	307811719	10823	http://www.restaurant-lenzig.net	Schöneberg		14.11.2015	09:30	https://drive.google.com/drive/u/0/folders/0B-oueGlGMoKjV0poZzJ2QVZXUjQ	Yes	
		Germany	Markus	Berlin	Restaurant Tugra	Kurfürstendamm 96	49303234027	10709	http://www.restaurant-tugra.de	Charlottenburg		14.11.2015	11:00	https://drive.google.com/drive/u/0/folders/0B-oueGlGMoKjNExHNW81Nm5UZFU	Yes	
		Germany	Markus	Berlin	Standard	Templinerstrasse 7	3048625614	10119	www.standard-berlin.de	Prenzlauer Berg	Florian Schramm, 0176 567 15 118 photographer can call, but there will be no appointment before the 25th 	12.11.2015	16:00	https://drive.google.com/drive/u/0/folders/0B-oueGlGMoKjREZkYUN6eGIzUEU	Yes	
		Germany	Markus	Berlin	Monsieur Le Boeuf	Nollendorfstraße 10	219 644 64	10777			Reza, 0176 80066149	12.11.2015	17:30	https://drive.google.com/drive/u/0/folders/0B-oueGlGMoKjMUlDVndJMThmTEU	Yes	
		Germany	Stefan Mischko	München 	TAVERNA KYMATA	Volpinistr. 19	8914332533	80638	http://www.kymata.de/	Neuhausen-Nymphenburg 	Dimitri, am 12.11 um 16:30 Fotoshooting	12.11.2015	16:30	https://drive.google.com/drive/u/0/folders/0B7IgwuACehoza2hlS1BBNWY5b3M	Yes	
		Germany	Marcus	Berlin	BOMBAY Restaurant	Friedrichstr. 106c	493028484953	10117	Listing					https://drive.google.com/drive/u/0/folders/0B-oueGlGMoKjTXoxdWpRQndsY3M		00130000017BY5uAAG
		Germany	Paul	Berlin	Heat & Beat	Sonnenallee 67	15238455905	12045	Listing					https://drive.google.com/drive/u/0/folders/0BwouuaUhPViQQUU2enZKX0J3eWM		001a000001dZ0nmAAC
		Germany	Marcus	Berlin	Il Mulino	Adolf-Martens-Straße.2	308327793	12205	Listing					https://drive.google.com/drive/u/0/folders/0B-oueGlGMoKjZTZkd2cwRk1DLWc		001a000001f9XM8AAM
		Germany	Marcus	Berlin	Lenzig Restaurant	Eisenacher Str. 75	307811719	10823	Listing					https://drive.google.com/drive/u/0/folders/0B-oueGlGMoKjV0poZzJ2QVZXUjQ		001a000001f9FxfAAE
		Germany	Paul	Berlin	Neffes	Potsdamer Str. 131	3021005500	10783	Listing					https://drive.google.com/drive/u/0/folders/0BwouuaUhPViQd2hJeXVPckhVd1k		001a000001f9YBGAA2
		Germany	Paul	Berlin	Nuovo Paladino	Fischerhüttenstr. 67	3086203360	14163	Listing					https://drive.google.com/drive/u/0/folders/0BwouuaUhPViQbmlhdXVZY3VhVVU		001a000001f9FluAAE
		Germany	Paul	Berlin	Petite Europe Restaurant	Langenscheidtstr. 1	307812964	10827	Listing					https://drive.google.com/drive/u/0/folders/0BwouuaUhPViQb1RVWFlvMWR1bkE		001a000001f9FyBAAU
		Germany	Marcus	Berlin	Restaurant GLASS	Uhlandstr. 195	493054710861	10623	Gal Ben					https://drive.google.com/drive/u/0/folders/0B-oueGlGMoKjc2RBYzJVeFd4Z2c		001a000001MkwxeAAB
		Germany	Marcus	Berlin	Restaurant Tugra	Kurfürstendamm 96	49303234027	10709	Listing					https://drive.google.com/drive/u/0/folders/0B-oueGlGMoKjNExHNW81Nm5UZFU		0013000000qDQs1AAG
		Germany	Marcus	Berlin	Standard	Templinerstrasse 7	3048625614	10119	Listing					https://drive.google.com/drive/u/0/folders/0B-oueGlGMoKjREZkYUN6eGIzUEU		001a000001f9WtaAAE
		Germany	Paul 	Berlin	Zsa Zsa Burger	MOTZSTRASSE 5								https://drive.google.com/drive/u/0/folders/0BwouuaUhPViQVDRaa1FDcGRDVWs		001a000001aYdpUAAS
