hotel_id	hotel_name	country_name	hotel_address	postal_code	city_name	area_name	hotel_latitude	hotel_longitude	import
48696	Puri Bambu Hotel	Indonesia	Jl. Pengeracikan, Kedonganan	0	Bali	Jimbaran	-8,763015291	115,1728721	11/11/16
48699	Conrad Bali	Indonesia	Jalan Pratama 168	80363	Bali	Nusa Dua	-8,78096	115,2255	11/11/16
49730	Kori Ubud Resort & Spa	Indonesia	Raya Sanggingan Road, 18 Tjampuhan - Ubud Gianyar BAli	80571	Bali	Ubud	-8,495717429	115,2531481	11/11/16
49751	Puri Madawi Hotel	Indonesia	Jalan Petitenget, Gg. Cendrawasih No. 68	0	Bali	Seminyak	-8,675702943	115,1508754	11/11/16
49778	Vilarisi Hotel	Indonesia	Jalan Melasti / Lebak Bena 15x Legian, Kuta	80361	Bali	Legian	-8,710552889	115,1706648	11/11/16
69692	Villa Mathis a Member of Secret Retreats	Indonesia	81 Jalan Bumbak Banjar Anyar, Umalas	0	Bali	Seminyak	-8,661082183	115,1522675	11/11/16
76392	Novotel Bali Nusa Dua Hotel	Indonesia	ITDC Complex, Jl Pantai Mengiat	80363	Bali	Nusa Dua	-8,808179475	115,2260135	11/11/16
84795	Bali Island Villas & Spa	Indonesia	Jalan Raya Petitenget 469	80361	Bali	Seminyak	-8,677421123	115,1533699	11/11/16
97589	Anahata Villas & Spa Resort	Indonesia	Banjar Umah Anyar	0	Bali	Ubud	-8,48136	115,2842	11/11/16
97648	The Water Garden Hotel Bali	Indonesia	Jalan Raya Candidasa	0	Bali	Candidasa	-8,499876961	115,5509377	11/11/16
108289	Ocean Blue Hotel	Indonesia	Jl. Raya Kampial, Nusa Dua	80363	Bali	Nusa Dua	-8,81690188	115,196733	11/11/16
108873	Hotel Yani	Indonesia	Jln Bay Pass Ngurah Rai 660 Pesanggaran	80222	Bali	Denpasar	-8,717082294	115,2166752	11/11/16
109154	Bali Kuta Resort	Indonesia	Jl Majapahit No. 18	80361	Bali	Kuta	-8,719980695	115,1784432	11/11/16
147900	Villa Diana Bali Hotel	Indonesia	Kresna Street - Ulun Tanjung, Legian, Kuta	80361	Bali	Seminyak	-8,699398525	115,1723051	11/11/16
165208	The Citta Luxury Residence	Indonesia	JL. Yudistira No. 2 	80361	Bali	Seminyak	-8,68863094	115,174071	11/11/16
186431	The Residence Seminyak	Indonesia	Jl. Pangkung Sari No. 1A	80361	Bali	Seminyak	-8,681366191	115,1600808	11/11/16
193834	Bugan Villas	Indonesia	Jl. Batubelig 133, Seminyak, Kuta	80361	Bali	Seminyak	-8,672118072	115,1574898	11/11/16
234467	Taman Ahimsa	Indonesia	Jl. Pantai Mengening, Desa Cemagi, Mengwi, Badung	0	Bali	Canggu	-8,644498572	115,116291	11/11/16
237995	Hotel Villa Ubud	Indonesia	Br. Pedapdapan	80552	Bali	Ubud	-8,499166024	115,2933598	11/11/16
239436	Bali Segara Hotel	Indonesia	Jl. Dewi Sartika Gang. Nusa Indah 9 Kuta - Bali	80361	Bali	Kuta	-8,739392318	115,1664591	11/11/16
