order_uid	previous_order_status	transition_name	new_order_status	user_role	date_time	comment
00ade521-d0e3-4159-b3f7-a55c3d654347	in_qa	deliver	delivered	qa	2017-01-24 10:08:00	first delivery
00ade521-d0e3-4159-b3f7-a55c3d654347	delivered	refuse	refused	customer	2017-02-02 10:53:00	last_refusal_date
00ade521-d0e3-4159-b3f7-a55c3d654347	refused	require_revision	in_qa	pm		send_back_to_qa
02453317-1666-4225-ba81-e8cfd6d0bfa2	in_qa	deliver	delivered	qa	2017-01-20 14:23:00	first delivery
02453317-1666-4225-ba81-e8cfd6d0bfa2	delivered	refuse	refused	customer	2017-02-09 10:06:00	last_refusal_date
02453317-1666-4225-ba81-e8cfd6d0bfa2	refused	require_revision	in_qa	pm		send_back_to_qa
02453317-1666-4225-ba81-e8cfd6d0bfa2	in_qa	deliver	delivered	qa	2017-02-23 22:54:40	last_deliver_date
0328c4de-2c40-42b2-9548-f5e70f9c98c0	in_qa	deliver	delivered	qa	2017-01-17 11:28:00	first delivery
0328c4de-2c40-42b2-9548-f5e70f9c98c0	delivered	refuse	refused	customer	2017-02-03 05:57:00	last_refusal_date
0328c4de-2c40-42b2-9548-f5e70f9c98c0	refused	require_revision	in_qa	pm		send_back_to_qa
0328c4de-2c40-42b2-9548-f5e70f9c98c0	in_qa	deliver	delivered	qa	2017-02-10 12:30:00	last_deliver_date
04a493a0-64a4-4bc7-8828-bd4241a4d091	in_qa	deliver	delivered	qa	2016-11-07 12:23:00	first delivery
04a493a0-64a4-4bc7-8828-bd4241a4d091	delivered	refuse	refused	customer	2016-11-30 16:45:00	refusal
04a493a0-64a4-4bc7-8828-bd4241a4d091	refused	require_revision	in_qa	pm		send_back_to_qa
04a493a0-64a4-4bc7-8828-bd4241a4d091	in_qa	deliver	delivered	qa	2017-01-20 16:11:00	deliver_add._transition
04cd2a3a-cfb4-468c-be48-1b8510d02035	in_qa	deliver	delivered	qa	2017-01-02 15:39:00	first delivery
04cd2a3a-cfb4-468c-be48-1b8510d02035	delivered	refuse	refused	customer	2017-01-24 11:36:00	refusal
04cd2a3a-cfb4-468c-be48-1b8510d02035	refused	require_revision	in_qa	pm		send_back_to_qa
04fcd194-fb96-40a2-9704-369057405b52	in_qa	deliver	delivered	qa	2017-01-20 13:17:00	first delivery
04fcd194-fb96-40a2-9704-369057405b52	delivered	refuse	refused	customer	2017-02-10 06:41:00	refusal
04fcd194-fb96-40a2-9704-369057405b52	refused	require_revision	in_qa	pm		send_back_to_qa
05cc0458-24dc-4850-ac28-f06486a440f4	in_qa	deliver	delivered	qa	2016-11-09 17:31:00	first delivery
05cc0458-24dc-4850-ac28-f06486a440f4	delivered	refuse	refused	customer	2016-11-28 10:56:00	refusal
