project	customer_id	delivery	folder_name	images
Agoda Bali	1016010	https://drive.google.com/drive/folders/0B2QYuPa8WdDscm9XTTJvaTRYNmc	1016010	31
Agoda Bali	1016090	https://drive.google.com/drive/folders/0BzVECRdNByQAZ1VXMUZGeDRvQ2M	1016090	31
Agoda Bali	1016171	https://drive.google.com/drive/folders/0BzVECRdNByQAaXk1c3p2WFp0WTg	1016171	51
Agoda Bali	1030378	https://drive.google.com/drive/folders/0BzVECRdNByQAdnpoZEl0OVFZRW8	1030378	30
Agoda Bali	1030379	https://drive.google.com/drive/folders/0B1H-4CqQJz7aY1Zzd0Q2VUJCLU0	1030379	19
Agoda Bali	1031008	https://drive.google.com/drive/folders/0BwrdIL719n7wZ05pN1FQa0FyY1E	1031008	39
Agoda Bali	1031847	https://drive.google.com/drive/folders/0B2QYuPa8WdDsMU9ZY0c3VEw0TkU	1031847	36
Agoda Bali	10323	https://drive.google.com/drive/folders/0BzVECRdNByQALUwxZEp2M19WVEU	10323	56
Agoda Bali	10325	https://drive.google.com/drive/folders/0B6I0mAjGkrndM01zSmU2S0hpMmM	original	111
Agoda Bali	10327	https://drive.google.com/drive/folders/0B2QYuPa8WdDsd2Q4Y2hBaFJoLWs	10327	106
Agoda Bali	10334	https://drive.google.com/drive/folders/0BzVECRdNByQAQ2JQTnJOTExiZzg	10334	101
Agoda Bali	10338	https://drive.google.com/drive/folders/0BzVECRdNByQASndsY3kzY25KS0k	10338	81
Agoda Bali	10351	https://drive.google.com/drive/folders/0B2QYuPa8WdDsOTM4ejFMZkxTaTg	10351	70
Agoda Bali	10352	https://drive.google.com/drive/folders/0BzVECRdNByQAbmtHa3NtWkJwMHM	10352	71
Agoda Bali	10353	https://drive.google.com/drive/folders/0B6I0mAjGkrndRUNHdkkwOXk1R2s	originals	63
Agoda Bali	10359	https://drive.google.com/drive/folders/0B6bhERF4B_DpdmlldVp2NllFQWc	10359	106
Agoda Bali	10367	https://drive.google.com/drive/folders/0BwrdIL719n7wWUhpV19sZmw1RkE	10367	75
Agoda Bali	1047483	https://drive.google.com/drive/folders/0B1H-4CqQJz7aZ0RPMHU3bzB5SWs	1047483	55
Agoda Bali	1051660	https://drive.google.com/drive/folders/0B2QYuPa8WdDsYkdNeTRDbW9CS2M	1051660	46
Agoda Bali	1059802	https://drive.google.com/drive/folders/0B2QYuPa8WdDsVGx5MVBKMHJLTlU	1059802	42
